,keywords,example1,example2,example3
0,"путин, война, мир, страшно бессильный, прикасаться душа, тропа","Дудь, Меладзе, Лазарев, Моргенштерн и другие требуют остановить войну с Украиной!

Российские артисты, блогеры, политики, журналисты и писатели Алексей Навальный, Иван Дорн, Юрий Дудь, Валерий Меладзе, Максим Галкин, Алишер Моргенштерн, Сергей Лазарев, Сергей Смирнов и Борис Акунин высказались о начавшейся 24 февраля 2022 года войне с Украиной и выступили против военной агрессии Путина. #НетВойне 
 
Станьте нашим спонсором: https://youtube.com/channel/UCgxTPTFbIbCWfTR9I2-5SeQ/join 
Наш BTC кошелек: bc1qukw23mmmrw2j36ual55kn4xgc5nluut53g32gf 
 
Подписывайтесь на «Навальный LIVE» в соцсетях: 
Твиттер: https://twitter.com/navalnylive 
Инстаграм: https://www.instagram.com/navalny.live 
Телеграм: https://t.me/navalnylivechannel 
Фейсбук: https://www.facebook.com/navalnylive

#Украина #Россия #Путин #Война #Безумие #СтопВойна #НетВойне #ОстановимВойну #МируМир","""Сибирь. Реалии"": 
 
«""Ничего не выйдет у злобного старого карлика, захватившего власть в РФ"". 
За эту фразу жительницу маленького кузбасского городка оштрафовали на 30 тысяч. Деньги собирали всем миром. В интервью Сибирь.Реалии Оксана Ронжина рассказала, каково это - быть единственной несогласной в глухой провинции, всегда голосующей за Путина.» 
 
#нетвойне","Любовь Соболь https://t.me/TeamSobol 
 
Тиньков написал эмоциональный пост, в котором рассказал, что отдал банк за копейки и что ему угрожают за антивоенные высказывания. 
 
Пропаганда начала отрабатывать «фас» и травить по команде, чтобы другим предпринимателям неповадно было рот открывать. 
 
Не хочется присоединяться к травле Тинькова, который на сегодняшний день уж точно выделяется среди остальных в лучшую сторону хотя бы тем, что не молчит. И тем, что умеет работать и зарабатывать, а не только воровать, как другие. Но вопросы-то все равно к Олегу есть. 
 
Если посмотреть на ВСЕ высказывания Тинькова раньше, то там просто жир. В течение лет. И это не только про Путина-императора или про то, что при Навальном «будет хуже и воровать будут только больше», а сам Навальный хочет прийти к власти как Янукович (что?). 
 
Позиция Тинькова сейчас примерно такая: «Я был молодцом всегда, а меня не оценили и выкинули за борт русского корабля. Ну так я и рад там оказаться, мне мало осталось, вы надоели, хочу пожить, а для этого много не надо. Пусть Россия загнивает дальше без меня любимого». 
 
Пост написан сейчас, спустя больше двух месяцев с начала войны, санкционного давления, когда уже и бизнес отобран, и назад дороги нет. 
 
Почему люди вас, Олег, пострадавшего, критикуют? Потому что не видят должного раскаяния за ошибку. Так же, как и с Хаматовой. Вы вроде поняли, что все стало очень плохо, но не спешите признавать свой вклад в это «плохо». Вклад не взятками и фрондированием чиновников, но словами, сказанными на большую аудиторию. Поддержкой убийцы, применявшего химическое оружие, построившего систему с пытками в тюрьмах и избиением дубинками на улицах городов. Молчанием в то время, когда у людей отнимали выборы, уничтожали редакции независимых медиа, когда полиция вламывалась в офис «Мемориала», а Минюст объявлял каждого несогласного «иностранным агентом». 
 
Вы ошиблись, Олег. И люди с вас спрашивают ровно потому, что вы можете услышать и признать ошибку. Сказать громко, чтобы другие тоже услышали. Но вы только и сделали, что написали, что Россия — потерянная страна. Не потерянная. 
 
Россия — это не Путин. И не пропагандисты. Это люди. Немцов говорил, что нужна демократия, а не власть силовиков. Навальный боролся и борется за людей. И многие россияне тоже. И оставшиеся в России, и вынужденно уехавшие. Ничего не потеряно, пока идет борьба. Вам ли, человеку, преодолевающему тяжелую болезнь, этого не знать? 
 
+ 
 
В инстаграме под моим постом про Тинькова пишут: «хватит старое вспоминать!» 
 
Мне важно знать, за демократию Тиньков или нет. Я против позиции «давайте перевернем страницу», за «давайте разберемся и сделаем выводы». А то так здорово в 90-ые перевернули страницу, что Путин к власти пришел и сделал еще хуже. Нужно признание ошибок и выводы, а не просто обиды за неоцененный в Кремле талант. 
 
Источники: https://t.me/TeamSobol/4993 + https://t.me/TeamSobol/4994 
 
#Украина #Россия #Оккупанты #Война #Путин #Безумие 
#СтопВойна #НетВойне #ОстановимВойну #МируМир"
1,"война, мир, друг, жизнь, жить, происходить","💙💛🕊
#нетвойне
 ❗Для тех кто Хочет и Может ПОМОЧЬ:
🇺🇦Олеся Кулык
 (волонтёр  спасающий диких и бездомных животных) 
https://instagram.com/olesyakulyk?utm_medium=copy_link

🇺🇦Группа помощи бездомным животным ШАНС https://www.facebook.com/groups/priutshans1/?ref=share

 💚https://www.instagram.com/p/Cae822MIZDI/?utm_medium=copy_link

☀️Амалия...Образ Мира, Жизни и Любви...💚
девочка из прекрасной многодетной семьи волонтеров  Запорожья, уже много лет, ежедневно, спасающие бездомных животных, раненых диких...вопреки всем ""сложно"" ,через усталость и через ""немогу"". С Огромной любовью,заботой, мудростью, вниманием друг к другу, поддерживая и ободряя, это очень важно, чтобы ПРОДОЛЖАТЬ...не выбиться из сил, не сдаться, не впасть в отчаяние или агрессию, как это часто бывает...
 Они стали моим вдохновением и  примером. СПАСИБО. 

#StopWar",#нетвойне Недеюсь что всё это скоро закончиться и братские народу прекратят эту бессмысленную войну!,"#нетвойне

Люди всей Земли, будьте же детьми,
Чтоб мир изменить смогли.
Жили чтоб не врозь,
Небо чтоб без слез, в мире без войны
Предательства и вины,
Мы все изменить должны, должны.

Люди на Землі, будьте же дітьми,
Щоб світ змінити теж змогли.
Жили разом скрізь,
Небо щоб без сліз, в світі без війни.

People on the Earth, keep your souls unclosed
Change the world i`m begging please
Hide away your fears,
Skies without a tears, living lasting peace

Без страха и без вины,
Мы все изменить должны.
Этот мир без войны..."
2,"украина, война, мир, украинец, жить, друг","🇷🇺🇺🇦Мой ответ сложившейся ситуации! Не должно быть войны!!! Россия не враг Украине, а Украина не враг России!!! Русские и украинцы это один единый, великий и могучий народ-СЛАВЯНЕ!!! Нельзя идти на поводу у западных идиологов, нельзя впитывать пиндосовскую пропаганду разъеденения и разрушения!!! УСЛЫШТЕ, ЛЮДИ, НЕЛЬЗЯ ИДТИ БРАТУ ПРОТИВ БРАТА!!! Выкиньте нациков и фашистов из своих голов, из своих жизней, из своих домов!!! Не впитывайте поганую дэзу вливающуюся вам в уши с враждебного запада!!! Война не нужна никому, кроме жадных и кровавых политиканов… #нетвойне #россияукраина #украинароссия #россияукраинавместе #украинароссиявместе #братьяславяне #россияукраинабратья #россияукраинамир #славяне #негламурныйведущий p.s. Сейчас точно такой же пост заблокировали в инсте! Я совершенно не понимаю с чем это связано!!!","Как быть, когда страна в которой ты живешь, воюет со страной в которой ты родился… только боль и слёзы за близких и родных людей, которые оказались в оковах этих ужасных последствий. 

Как это можно воспринимать адекватно, как вообще в 2022 году можно адекватно воспринимать войну? 

Я вырос в России и люблю свою родину, но я не выбирал эту власть и не поддерживаю ее военные действия против братского народа. Сейчас на Украине мои родные, им страшно и они не понимают, за что, они вынуждены наблюдать все это безумие. Они не делали ничего, чтобы против них началась «Военная операция». 

Как объяснить своему отцу, глядя прямо в глаза, что ты ничего не можешь сделать и никак не можешь повлиять на действия людей, за которых не голосовал. 

Я три года проработал в полиции и служил в морской пехоте и я делал всё, что было нужно во благо своей родины России, но я никогда в жизни не пойду воевать против своего отца, эта война должны быть остановлена!

Нет войне! 

Остановите это! 

#нетвойне #остановитевойну","Я РУССКАЯ И Я НЕ ХОЧУ ВОЙНЫ!!!
⠀
🇺🇦в  Украине живут мои родственники. мои друзья.
Киев - один из моих любимых городов на Земле❤️
⠀
я говорю НЕТ войне!
⠀
#этонемойвыбор
#мыпротиввойны
#нетвойне"
3,"российский, ракета, вертолет, уничтожать, сбивать, самолет","Оборона Мариуполя

Сьогодні, на Маріупольському напрямку, українські захисники здійснили контратаку та знищили 3 ворожі танки, 4 БМП, 2 Тигра та близько тридцяти російських окупантів. Двоє загарбників потрапили в полон.
Опинившись в полоні росіяни заспівали вже звичну для них пісню про ""мы не знали куда нас отправляют"".
Та все вони знали. Двоє танкістів, один з яких російський офіцер-командир взводу, вирішили здатися. Інші ж екіпажі, що знаходилися в розбитій колоні бронетехніки, залишилися в палаючих машинах назавжди.
Українські оборонці Маріуполя продовжують героїчно та мужньо стримують навалу агресора. Перемога буде за нами!🇺🇦

@a_shtirlitz

#русскийфашизм#путинхуйло#нетвойне#украинароссия#stoprerror#stoprussia","⚡️Россия стягивает войска в Белгородскую область, чтобы помешать ВСУ выйти на границу — Институт изучения войны

рф в войне против Украины пытается удержать позиции оккупантов в окрестностях Харькова, а также предотвратить дальнейшие контратаки украинских войск.

Для этого военное командование вс рф продолжает стягивать подкрепление (https://bit.ly/37uvVFy) в Белгородскую область

#НетВойне #NoWar #украина #россия #путин #война #StopPutinsWar","#япротиввойны #нетвойне #нетпутину #путинубийца
ЛОГИКА КРЕМЛЕВСКОЙ ПРОПАГАНДЫ

1. Россия не нападала на Украину, но Украина обязательно должна перестать защищаться.
2. Специальная операция - это не война, а вот экономические санкции - это война.
3. Война началась для того чтобы не началась война. 
4. Призывников не отправляли в Украину, но некоторые из них там умерли.
5. Роддом разбомбили, потому что там сидели нацисты, переодетые беременными женщинами, но его всё-равно не разбомбили.
6. Специальная операция проходит по плану, войска не встречают сопротивления, но за 20 дней получилось только захватить Херсон и окружить Мариуполь.
7. Все украинские самолёты были уничтожены ракетами на аэродромах. Но спустя 2 недели Украина подло бомбила Беларусь.
8. Желать смерти украинцам можно по российскому ТВ, но желать смерти российским оккупантам в Фейсбук- это экстремизм.
9. Российские войска воюют не с мирными жителями, а с нацистами. Всеми 40 миллионами нацистов."
4,"ребенок, война, мир, забор, мать, русский","#Квартирник_у_Маргулиса #ЗаРоссию #Украина #ВСРФ #Россия #ДаПобеде #ЯГоржусь #нетвойне #СВО
""Квартирник у Маргулис в госпитале МО РФ""","Умирают люди! Ваши и наши дети! Стоп война! 
#нетвойне #война #украина","Я Русская. И мне не стыдно! И сейчас я говорю своим детям, что люди Украины, Донбасса нам НЕ ВРАГИ и НЕ ВРАГИ МЕЖДУ СОБОЙ! У нас одни общие корни. 

Война-самое ужасное что может быть. Я  НЕ желаю её никому на Земле!
Все пишут #нетвойне, но я считаю, правильно #НЕТФАШИЗМУ, #НЕТНАЦИЗМУ!!! 
Нацисты уничтожают народы под корень, если их вовремя не остановить. Это мир понял в 20веке на примере Гитлера.

Мы все помним события последних 10 лет. Майдан, переворот и в итоге марши молодых ребят, мальчишек еще, по Киеву... с полными ненависти высказываниями в адрес русских, ""ватников, москалей, колорадов"", с угрозами. И по итогу с исполнением этих угроз расправы (ЭТО ЛИ НЕ НАЦИЗМ???) Потом ВЛАСТИ объявили многих русскоязычных граждан ""предателями, сепаратистами"". Ведь этим людям не нравилось происходящее, не нравился нацистский настрой в их адрес. Дом профсоюзов и горящие там заживо люди (скажите мне что это? Не ФАШИЗМ???) Далее обстрелы Донбасса, рабочие люди которого не захотели участвовать в формировании нового государства, т.к.им бы в нем не было места, русскоязычным... в течение нескольких лет обстрелы. И множество погибших, в том числе дети!!!  И много еще чего... Признание Степана Бандеры нац.героем! (загуглите фото его омерзительных ""подвигов"")

Машина была запущена уже тогда. Даже раньше. А именно: когда в ваших детях  лет 20 назад и больше (я так подозреваю) взращивали корни ненависти к нам, а вы либо не замечали, либо не хотели это замечать... Теперь ваши дети выросли. И рвутся в бой против своих же братьев и сестер вот уже 8 лет. 
И мне ЖАЛКО ВАШИХ ДЕТЕЙ! Мне ЖАЛКО НАШИХ ДЕТЕЙ!
Я МОЛЮ БОГА, чтоб не было жертв! Чтоб наши дети и мы с вами поняли, что МЫ-НЕ ВРАГИ! Чтоб братские народы договорились между собой!

Я Русская. Мне не стыдно! И сейчас я говорю своим детям, что люди Украины, Донбасса нам не враги и не враги между собой! У нас одни общие корни. Меня так воспитывали. Я так же буду воспитывать своих детей и не изменю свое мнение об этом, потому что это историческая правда."
5,"россия, санкция, компания, банк, газ, доллар","А вот и еще один ""вызов"" https://vk.com/wall483872312_9273  - век евро не видать! ЕС запретил, продавать, поставлять, экспортировать в Россию банкноты, деноминированные в евро.

Кассы российских банков, видимо, будут брать штурмом. Если, конечно, в них хоть что-то осталось.

СЕРПОМПО https://t.me/SerpomPo
#НЕТВОЙНЕ
https://t.me/bbbreaking/117584","Raiffeisen Bank изучает возможность ухода из России #Украина #НетВойне #Геноцид
https://ria.ru/20220301/bank-1775851194.html","C.Слепаков 
 
А в России было всё- и ресурсы и сырьё,
И валютный капитал, и военный арсенал.
Знаменитые артисты и смешные юмористы,
Были теноры, басы, даже короли попсы,
Теннисисты, дирижёры, фигуристы и боксёры.
А сегодня не нужны… Выходцы с такой страны.

А в России были все - Мерседесы и Порше,
И Самсунг, и Адидас, и Старбакс, и Эирбас,
Были Лего, Прада, Гуччи, Ролекс, Майкрософт и Пуччи.
Зара, Аппл и Айкия, Симмонс, Эриксон, Нокия,
Нетфликс, Делл и Спотифай-
Дружно все сказали «Бай».
Пока Пу рулит в стране, импорта в Россию нет.
А российское жульё в мире раскупило всё-
И нью-йоркские квартиры и ирландские трактиры.
Винодельни, самолёты,
Острова и вертолёты.
Яхты, виллы и дворцы прикупили удальцы.
Даже в Челси клуб футбольный
взяли весь пакет контрольный.
Только толку что с того?
Ведь сейчас лишат всего.

Как же это вышло так? Что один больной чудак.
Миру объявив войну, развалил свою страну.
Как же это не понять?-Он отправил воевать.
Почему не ясно вам?- Он убийца и тиран.
Ваши уголь, нефть и газ прям сейчас бомбят Донбасс,
Киев, Харьков и Херсон
Убивает злобно он.
Он Россию бросил, гад, лет на сорок пять назад.
Пока правит Пу в стране.
Будет жить народ в г*вне…
#нетвойне #путинпреступник #россиябезпутина"
6,"погибать, война, военный, ребенок, потеря, город","Твиттер лежит, поэтому здесь.
С 2015 года я занимаюсь реабилитацией детей-инвалидов. Я пошла в гуманитарную профессию, чтобы оставить за собой в мире след добра. Я специалист высокой квалификации, но что важнее - мои ученики любят меня и по-настоящему ждут встреч со мной. Я учу их самым обыкновенным вещам, которые позволяют улучшить качество их жизни: самостоятельно кушать, одеваться, соблюдать гигиену, разговаривать, играть, вести себя в коллективе. Некоторые из моих учеников с трудом ходят, большинство - имеют ментальные трудности, не позволяющие оставлять их без присмотра. 
Они будут первыми, кто погибнет в случае, если война придёт в наши города. Сейчас, к моему ужасу, это может быть реальной перспективой. Ведь неделю назад я была уверена, что ничто не грозит жителям Киева.
Если вы хотите жить в мире, пожалуйста, говорите об этом. #нетвойне","42 сутки вторжения России 
Путинские войска убили 167 детей в Украине 
Два ребенка погибли только за последние сутки.
 
#Невзоров 
#путин #война 
#нетвойне #Украина #войнасукраиной #украинароссия #войнаукраинароссия #Россия #Донбасс","Forbes: у украинской армии сейчас на 43 танка больше, чем в начале войны.

По подсчётам аналитиков, с начала российского вторжения в Украину армия РФ лишилась 530 танков, тогда как ВСУ потеряли 74 своих, но захватили 117 танков врага.
#нетвойне #StopRussia #stopputin #Сайга5.45
На фото не танк, а русский военный корабль в пути:"
7,"дом, район, обстрел, город, ракета, жилой дом","Подборка основных ""подарков""  от русского мира к Украине за 2 недели войны, эти дома обстреливали ракетами. То есть, перефразирую - поехавший дед   во главе ОПГ(все высшее руководство РФ), от имени всех россиян, в рамках ""Специальной террористической операции"" бомбил мирные города другой страны. 
#путинхуйло, #украина, #война, #нетвойне, #русскиймир,  #терроризм, #фашизм,","Где взять слез, их нет больше...
Это фото погибшей 6 летней девочки под завалами... От российской ракеты...

Сегодня утром сразу восемь ракет были выпущены по Николаеву. Они попали в разные районы города, одна из них – в пятиэтажный жилой дом. В результате удара есть погибшие и раненые. (c)
++++++
Минобороны РФ сообщает об уничтожении высокоточными ракетами базы подготовки иностранных наёмников в районе города Николаев.
На фотоснимках та самая «база иностранных наёмников». (c)
+++++
В сводке российского министерства обороны говорится, что в районе Николаева находилась ""база подготовки иностранных наемников, которая была уничтожена"". На кадрах с места виден обычный жилой дом. Спасатели, разбиравшие завалы, сообщили, что в одном подъезде разрушены квартиры с третьего по пятый этаж. Прокуратура области начала расследование по факту нарушения законов и обычаев войны. Спасательная операция продолжается, под завалами остаются люди. (c)
*******************************************************************************************
Возможно что так называемые «высокоточные ракеты» не так точны, как нам следует думать! Если ВС РФ делают вид, что их используют, ну и результаты очевидно ужасающие. Как мы называем несчастные случаи или неисправность оружия? Да, ""сопутствующий ущерб!"", происходит с первого дня войны до подписания мирного соглашения! #jgh
*******************************************************************************************
#нетвойне #япротиввойны #украина #россия #янемолчу #Zамир #Zароссию","В Мариуполе российский пилот целенаправленно бомбил детскую больницу. Колоссальные разрушения. Нет срока давности и прощения за военные преступления и убийство детей!

#Украина #Россия #Беларусь #Война #пропаганда #нетвойне #санкции #митинг"
8,"фашизм, война, мир, русский, украинский фашизм, фашист","Есть одно существенное отличие между фашистскими режимами Гитлера и Путина: при Гитлере фашизм сопровождался подъемом немецкой экономики, при Путине же в России фашизм идет своим особым ""сказочным"" путём. Но слабоумный путинский электорат в силу своего слабоумия не в состоянии понять даже этого 🤦‍♀ 
 
#украина #днр #лнр #лднр #луганск #донецк #донбасс #нетвойнесукраиной #нетвойне","Русский!  
 
Ради чего ты едешь воевать в Украину?  
 
Мы — будем воевать за свой дом. Будем защищать свой уклад. Будем биться за то, что нам дорого. За свою землю, народ и страну.  
 
А ты? 
 
Будешь ""защищать"" русскоязычное население?  
 
Так тысячи украинских солдат говорят на русском, и ты будешь воевать против них? Где логика? 
 
Будешь спасать нас от гей-Запада? 
 
Посмотри кто популярен у русских детей, на кого они подписаны и от кого фанатеют — Милохины, Даши Корейки, Петровы и тд. Гей-Запад давно уже победил у тебя дома.  
 
Будешь бороться против ""фашизма""?  
 
Русский, ты давно уже человек второго сорта в своей же стране. Тебя замещают среднеазиатами и кавказцами. Русские скоро станут меньшинством в России. Русских детей все меньше в школах, по сравнению с детьми мигрантов. 
 
Вас сажают по 282 за малейший писк в сторону Кавказа, а они свободно танцуют лезгинку на центральных площадях ваших городов и получают руководящие должности в силовых структурах. 
 
Русский, пока ты будешь месить грязь в донбасских степях, голодный и холодный, сражаясь за бизнес-интересы руководства России, на твоё место привезут еще больше мигрантов, которые согреют постель твоей жены, возьмут в жены твою дочь и ассимилируют твоего сына.  
 
Ваши дети будуть читать Коран, чтить пророка Мухаммеда и делать намаз пять раз в день. Пока ты, русский, вместо того, чтобы вершить революцию и свергать плешивого карлика, ехал убивать на украинскую землю. А вернешься домой в цинковом гробу.  
 
Подумай про свою мать в конце концов. У неё ты, возможно, единственный сын.  
 
По возможности, сдавайся в плен украинским солдатам. И тогда ты, возможно, вернешься домой.

❤️‍🔥❤️‍🩹💔 ми не хочемо війни…. Ніхто не хоче померати за бізнес…. Чого ви лізете до нас? Що ви тут забули? Ви хочете стати міндобривом? Тоді друге питання… на місці вашої гибелі виросте дерево, яке буде памятати на чому воно виросло, не робіть гріха, не вбивайте себе….. ми вам даємо відсіч яку ваш гітлер не очікував…. Будьте розумними) робіть добро і до вас обернеться добром, #nowar #putinhuylo #slavaukraine","Нет фашизму

В тот год затихли
Звуки кононады.
Была весна,
И яблони цвели.
Советские обычные
Солдаты
От нечести
Фашистской
Мир спасли!

И в память тех,
Кто пал под Будапештом,
На Одере, под Брестом
И Орлом,
Народ дал клятву...
Исполняем честно!
Фашизму НЕТ!
И мы стоим на том!

Ведь не прошло
Ещё и века.
Вновь свастики,
И факелы горят.
Кричу я:"" Люди, люди!
Человеки!
Погибшие сейчас
На вас глядят!"".

Фашизм остановить
Пока не поздно!
Предать историю
Мы вместе не должны!
Война за мир
Грохочет гроздно!
Война против
Коричевой чумы!

Ирина Павлова 28.02.2022

#Иринапавлова#стихи#нетвойне"
9,"россия, видео, война, канал, журналист, телеведущий","#нетВойне #ЯпротивВойны #СвободуНавальному #НеМолчите 

""Наше нежелание знать правду и наше молчание делает нас соучастниками преступлений""
(Олег Орлов)

Запустили мониторинг цен в России: прямо даже интересно, как быстро Роскомнадзор заблокирует за экстремизм сайт, на котором нет ничего, кроме графика цен на потребительские продукты!

https://pricing.day","❗️Пользователи Reddit проверили фото ""кадыровцев"", которые они якобы сделали в Украине. 

На самом деле оказалось, что они были сделаны в городе Мозыре в Беларуси.

Бородатые клоуны обделались ехать в гости к бандеровцам, что тут сказать

От себя - Господи, какой позор ... 
Думала выставить расстрелянные машины людей, которые пытались эвакуироваться с Мариуполя , и там же метрового ребенка.... Но я уже так от этого устала просто зверски. К тому же идиоты утверждают что это ""нацисты"" расстреляли. Да я и не спорю - русские нацисты творят беспредел. Но постить не буду потому что не хочу, устала. У вас есть гугл

Лучше буду стебать, хотя бы настроение себе подниму. 

Овцейобы Кадыровцы 💪💪 сила , мощь, в войне против безоружных) а вот против ""злых бандеровцев"" уже как то жим жим

#нетвойне #война #кадыровцы #россия","""Роскомнадзор сообщил, что ограничил доступ к сайту The Village в связи с публикацией недостоверной информации о специальной военной операции России на Украине"".
Встречная идея: ограничить Кремль, МИД и все федеральные телеканалы как главные источники недостоверной информации(((
#НетВойне!
https://russian.rt.com/russia/news/970455-roskomnadzor-the-village-dostup?utm_source=yxnews&utm_medium=desktop"
