,keywords,popularity,example1,example2,example3
0,"президент, военный, русский, мир, война, путин",0.001662754303599,"В разных странах мира проходят акции в поддержку России. Такие действия - это смелость, которая помогает нашей стране стать морально сильнее. Мы идём в новое время, где девизом будет не ""унижай и властвуй"", а ""объединяй и здравствуй""! 
От каждого из нас сейчас требуется большая сила воли и великая мудрость, чтобы не поддаться на провокации и начать действовать по-другому, -так, чтобы не создавать ненависть, не разжигать панику и страх.
Работать над собой - главная задача. Работать во имя единства-обязанность. 

Давайте объеденимся и сделаем всё возможное, чтобы не повторять ошибок прошлого, а начать жить в мире! 
#РоссияzaПутина #СвоихНеБросаем#МызаМИР","Украина обстреляла центр Херсона. Интервью «Свободной прессе».↙️

▪️ Серия мощных взрывов прогремела в центре Херсона, который находится под контролем российских военных. Обстрел велся со стороны позиций украинских войск в районе Николаева. Удар был нанесен тремя ракетами «Точка-У», две из которых были сбиты.

💬 — Украинскому президенту плевать на украинцев, поэтому нечего удивляться тому, что ВСУ обстреливают украинские же города, — считает политолог, председатель Крымской региональной общественной организации «Центр политического просвещения» Иван Мезюхо.

— Если бы у них была возможность стереть Херсон с лица земли вместе с гражданскими лицами и российскими военнослужащими — они бы ей непременно воспользовались.

«СП»: — Украинские СМИ сообщали, что утром жители Херсона вышли на митинг за Украину, а вечером по ним начали бить «Точкой-У». Это попытка подставить Россию?

— Разумеется, в ударе по центру Херсона обвинят Россию. Украинскую пропаганду не смутит даже нелогичность такого фейка. Во-первых, для чего России обстреливать город, если вся область контролируется россиянами? Во-вторых, Россия не использует «Точку-У».
Они готовы обстреливать свои города (на словах они называют их своими), лишь бы России было хуже. Такова логика неонацистов.

«СП»: — Нет ли ощущения, что в Киеве понимают, что референдум в Херсонской области неотвратим, поэтому перевели эту территорию в разряд ЛДНР, то есть территорию противника, населенную антиукраинцами, а значит, ее можно бомбить. Такое очень своеобразное признание фактической утраты региона…

— На мой взгляд, Киев осознал потерю Херсонщины. Как мне представляется, на территории области может действительно возникнуть новое государственное образование. По крайней мере, такое развитие событий можно прогнозировать с высокой долей вероятности. Если Зеленскому скажут бомбить Львов или Сумы — он будет это делать. 

«СП»: — Это, по- вашему, касается только юго-востока? Или все территории будут переводиться в разряд вражеских?

— Как раз об этом я и говорю. Запад поставил задачу Зеленскому вести боевые действия до последнего украинца. Он выполняет это поручение. Поражение режима Зеленского неминуемо, а следовательно можно предположить, что ВСУ будут обстреливать не только восток и юг, но и другие регионы страны.

«СП»: — На этом фоне показательно разница в отношении Киева и Москвы. Пока Киев бомбит своих, Москва заботится о сохранении жизни всех. Повысит ли это уровень доверия украинцев к России? А доверие к Киеву снизит?

— То человеческое отношение, которое демонстрирует Россия к местному населению в Херсонской области, как раз и повысит уровень доверия к нашей стране со стороны украинского народа.
https://svpressa.ru/society/article/332808/

#Херсон #Херсонщина #Херсонскаяобласть #ХНР #точкаУ #ВСУ #ЗСУ #военнаяоперация #ZаНаших #ZаАрмию","Жанна Исаева: Политика Президента заключается в защите национальных интересов и укреплении страны
Жанна Ивановна Исаева, учитель русского языка и литературы МБОУ — Ново-Ямская ООШ: «Практически все граждане России поддерживают политику Президента Владимира Путина, которая заключается в защите национальных интересов и укреплении страны. Надеюсь, всем стало понятно, что специальная операция на Украине – это не только защита Луганска и Донбасса, но и борьба за независимость нашей страны, нашего общества. В идеале наши противники хотят расчленения России.

Поэтому они никогда не поддержат присоединения к России ДНР, ЛНР, Херсонской и Запорожской областей. Не сомневаюсь, что проживающие на этих территориях люди на референдуме проголосуют за вступление в состав РФ.

Россия всегда говорила, что своих не бросает. Теперь это подтверждается и на деле».
#ZаРоссию #ZаПрезидента #СвоихНеБросаем"
1,"сталинградский, сталинградская битва, армия, битва посвящаться, война",0.001662754303599,"«Осознание, что выработанные нами, экспериментаторами, методики прыжков с самолета, занимающего любое пространственное положение в воздухе, спасут жизнь летному составу, вдохновляло нас на самую трудную и сложную работу».

Эти слова принадлежат летчику-испытателю Константину Федоровичу Кайтанову, который в 1933 году впервые в мире выполнил прыжок из верхней точки «мертвой петли», а чуть позже из «штопора», «виража», «отвесного пикирования». Не менее важным достижением считается его прыжок из стратосферы с высоты 11037 метров, который парашютист первым в мире совершил 24 августа 1937 года. Путь к рекорду был трудным, порой на пределе человеческих возможностей.

Кайтанов наряду с другими известными советскими парашютистами посвятил свою жизнь служению Родине и укреплению ее обороноспособности. Каждый шаг в развитии парашютного дела доставался в трудной борьбе и ценой немалых потерь. Эта схватка не закончилась и сейчас, когда российские военные технологии совершенствуются каждый день и требуют постоянных испытаний. 

Передовые достижения оборонной промышленности РФ были продемонстрированы на Международном военно-техническом форуме «Армия-2022», который прошел с 15 по 21 августа в Подмосковье. Масштабное мероприятие доказало высокий уровень развития отечественного вооружения и специальных технических средств. Они позволяют нашей стране успешно проводить специальную военную операцию по защите соотечественников на Донбассе и противостоять любому оружию из многих уголков мира. Победа будет за нами!

#СвоихНеБросаем #МыВместе #ZаМир","Информационный час ""Взятие крепости Плевна"".
10 декабря 1877 года в ходе очередной русско-турецкой войны 1877-1878 гг. русские войска после тяжелой осады овладели Плевной, вынудив капитулировать 40-тысячную турецкую армию. Это была важная для России победа, но далась она немалой ценой.
Очередная Русско-турецкая война началась в апреле 1877 года. Ее главными целями было освобождение славянских народов от османского гнета и окончательный пересмотр положений Парижского мирного договора, заключенного по итогам неудачной для России Крымской войны.
После взятия Плевны перед Россией в очередной раз нависла угроза войны с Англией, крайне болезненно воспринимавшей любые русские успехи на Балканах и Кавказе. После падения Плевны премьер-министр Англии Дизраэли даже решился объявить России войну, однако поддержки в кабинете министров не получил.
Осада и взятие Плевны русскими войсками стало одним из ключевых событий войны 1877-78 гг. После падения этой крепости русским войскам был открыт путь через Балканы, а Османская империя лишилась первоклассной 50-тысячной армии. Дальнейшие стремительные действия русских войск позволили осуществить стремительный переход через Балканские горы и добиться подписания выгодного для России Сан-Стефанского мира. И тем не менее, осада Плевны вошла в отечественную военную историю как одна из самых кровопролитных и тяжелых. За время осады потери русских войск составили более 40 тысяч человек убитыми и ранеными.
Память героев Плевны была увековечена в 1887 году созданием часовни-памятника в Ильинском сквере в Москве. 
#памятнаядатавоеннойистории
#ZаМир
#ZаПобеду
#модельнаяЮцкая 
#предгорныйокруг 
#ставропольскийкрай
[club211234825|Глава Предгорья]","Алексей Пантелеевич Смирнов (1917—2005) — полковник Советской Армии, участник Великой Отечественной войны , Герой Советского Союза (1945). В РККА с 1936 года, а в 1940 году окончил Оренбургскую военно-авиационную школу. На фронтах Великой Отечественной войны с первых дней. Служил в 96-м гвардейском авиационном полку, выполнял сложные боевые задания. К 1942 году совершил 207 боевых вылетов[1], в июне с 1942 года — командир эскадрильи, в этом же году вступает в ВКП(б). К концу войны совершил 273 боевых вылета (83 вылета на разведку). 
Указом Президиума Верховного Совета СССР «О присвоении звания Героя Советского Союза начальствующему и рядовому составу Красной Армии» от 5 ноября 1942 года за «образцовое выполнение боевых заданий командования на фронте борьбы с немецкими захватчиками и проявленные при этом отвагу и геройство» был удостоен звания Героя Советского Союза. 
После Великой Отечественной войны окончил Военно-воздушную академию. В 1971 году вышел в запас звании полковника. 
Более 70 лет назад наши отцы и деды сделали все, чтобы остановить фашизм и геноцид народов. Спустя столько лет славяне вновь испытали на себе что такое ненависть и смерть ближнего человека. На протяжении последних 8 лет русские в Донецке и в Луганске притеснялись со стороны киевского режима – неонацисты планомерно убивали мирное население – стариков, женщин, детей. Сегодня на российскую армию возложена миссия положить конец бесконечным убийствам на территории братской Украины и предать справедливому суду неонацистов их сподвижников. Русский солдат защитит мирное население Украины. Мир придет в каждый дом». 
#ЕР34 #СталинградскаяБитва #ИсторическаяПамять #ИсторическаяПравда #СвоихНеБросаем #БратскаяУкраина #НетФашизму"
2,"помощь, гуманитарная помощь, житель, сбор, единая россия, центр",0.001662754303599,"Важна любая помощь. 

В гуманитарном центре Единой России в Мариуполе работают активные местные жители. Они пришли сюда в первые дни открытия и отмечают, как спустя время после освобождения города меняется настроение, тех, кто обращается в центр за помощью.

Что рассказывают о своей работе добровольцы, узнаете из нашего видео. 

#своихнебросаем #времяпомогать #мывместе #Zамир","Вместе с Губернатором Брянской области Богомазом А.В., председателем Брянской областной Думы Субботом В.В. принял участие в отправлении «Поезда помощи» с очередным гуманитарным грузом из Брянска для жителей Донбаса. Было сформировано несколько десятков тонн продуктов питания, строительных материалов, предметов личной гигиены, товаров первой необходимости, бытовой техники, одежды и лекарств.

Активное участие в формировании вагона приняли депутаты заксобрания, жители Брянской области, промышленные предприятия и предприниматели, крупные сетевые магазины, учебные заведения региона.
#ЕР32
#СвоихНеБросаем
#МыВместе","🇷🇺Акция «Забайкальцы - медикам Донбасса» продолжается…

Коллектив Краевого наркологического диспансера принял участие в гуманитарной акции «Забайкальцы - медикам Донбасса», организованной депутатом Законодательного собрания Забайкальского края А.В. Саклаковым. На сумму более 30 тысяч рублей были приобретены медикаменты, гемостатические губки, жгуты, индивидуальные аптечки и многое другое. Главный врач О.П.Дубинин и главный бухгалтер Е.А.Романова передали гуманитарную помощь Алексею Викторовичу.

Вторая партия груза гуманитарной помощи в рамках акции «Забайкальцы - медикам Донбасса» формируется и решается вопрос по ее доставке медикам Донбасса.

🚑Коллектив диспансера желает успехов коллегам Донбасса в сохрании жизни и здоровья военнослужащим, участвующим в специальной военной операции, и возвращении их в строй!

#никтокроменас #своихнебросаем #медикизабайкалья #медикидонбасса"
3,"уничтожать, военный, противник, пункт, всу, район",0.001662754303599,"#МыВместе
#СвоихНеБросаем
Новые кадры от Минобороны РФ. Система залпового огня «Ураган» способна гарантированно уничтожать цели на расстоянии 40 км. Огонь корректируют с помощью беспилотников. Подготовка, прицел и удар по позициям боевиков. Точными выстрелами были уничтожены укреплённые позиции, большое количество военной техники и командный пункт националистов: https://www.1tv.ru/n/432361","Российская армия перехватывает инициативу на других участках фронта, помимо ДНР. ВС России перешли в локальное наступление в районе города Орехова в Запорожской области. Сам Орехов пока контролируют ВСУ. Украинские войска, еще недавно готовившиеся к наступлению в Запорожской области, резко изменили тактику и начали возводить сразу несколько линий обороны на контролируемой ими части региона. Кроме того, ВСУ стали готовить столицу области — город Запорожье — к уличным боям. Украинские боевики создают укрепрайоны в пригородах, минируют инфраструктуру, устраивают на заводах военные объекты.
#ZаНаших#ZаРоссию#СвоихНеБросаем","В ходе наступательных боевых действий в составе своего подразделения старшина 2 статьи Александр Сахно принимал участие в освобождении от украинских националистов стратегически важного населенного пункта. 
 
Вытесняя боевиков из населенного пункта Сахно в заброшенном здании обнаружил, и лично задержал диверсанта-разведчика из числа украинского националистического батальона. Диверсант осуществлял разведку мест размещения российских войск для последующей передачи координат местоположения военной техники для нанесения минометного удара. 
 
Также задержанный националист выдал сведения о месте дислокации, численности и командире разведывательно-диверсионной группы, готовящих провокацию в отношении российских подразделений. 
#ZаРоссию 
#ZаНаших 
#ZаПобеду 
#СвоихНеБросаем"
4,"референдум, житель, вхождение, территория, состав, херсонская область",0.001662754303599,"В пятницу в ЛНР, ДНР, Запорожской и Херсонской областях стартовал референдум о вхождении в состав России.

В ЦИК Херсона заявили, что рассчитывают на то, что в голосовании примут участие около 750 тыс. избирателей. В Запорожской области в списки включены 500 тыс. человек. На 1,5 млн избирателей напечатаны бюллетени в ДНР – по числу лиц, которые могут прийти на референдум.

#ZaРоссию #ZaМир #СвоихНеБросаем","🇷🇺
Когда результаты референдума 96-99% , мы можем сказать только одно:
Руки прочь от русских!

#своихнебросаем","#СвоихНеБросаем
Долгожданное событие!
Начался референдум. Люди выстроились в длинные очереди. Смеркалось. Люди очень сильно радовались что скоро снова станут Русскими. В это время на монежной площади во всю шел концерт в поддержку решения областей о проведении референдума.там тоже очень много счастливых людей с флагами и криками. У всех Очень очень хорошее настроение. Все все радуются и присоединяются!"
5,"солдат, ребята, поддерживать, победа, гордиться, военный",0.001662754303599,"11 марта в Орехово-Логовском ДК прошла акция #ZзначитПобеда в поддержку Вооружённых сил Российской Федерации. Российские солдаты и офицеры сегодня выполняют долг перед странной, демонстрируя мужество и героизм. Им важна наша поддержка, тёплые слова и пожелания от простых россиян. Ребята, мы верим Вас, любим и ждём!!! Возвращайтесь невредимыми!!! Пусть Вам сопутствует удача!!! Победа будем за НАМИ!!!
#ZащитникамОтечества
#ZзначитПобеда
#НашеДелоПравое
#Своихнебросаем
#Патриот54
#ПатриотКраснозерья
#ПатриотОреховЛог","Как сказал на наш президент - «Ребята наши жизнью там рискуют и товарищей теряют в бою — ради Родины. Очень важно, чтобы наши воины чувствовали поддержку».
⠀
Я очень горжусь нашими солдатами! Они очень храбрые воины, не оставляют шансов противникам. Их сообразительность и решительность помогают армии быстро продвигаться вперед и приближать победу. Возвращайтесь домой живыми и здоровыми!!!

#ZаПрезидента #СвоихНеБросаем #ЗаНамиПраVда #ZаПобеду #ZаМир #СилаVПравде #РусскаяВесна #11июля","Всем нашим солдатам и офицерам - мужества и отваги.
#ZaРоссию #ZaНаших #ZaПутина #СвоихНеБросаем #ЕР17"
6,"акция, житель, принимать участие, помощь, акция поддержки, военный",0.001662754303599,"120 миллиардов рублей будет потрачено на ремонт дорог!

Поддержим замечательную инициативу реакциями!👍
Россия 🕊 Za Мир!

#СвоихНеБросаем #МыВместе #ВремяПомогать #Zaмир #ZaПрезидента","На Камчатке состоялась военно-патриотическая акция в поддержку военнослужащих Минобороны России, выполняющих поставленные задачи в ходе специальной военной операции.
 
В ней приняли участие военнослужащие Восточного военного округа, гражданский персонал воинских частей, юнармейцы, ветераны военной службы и боевых действий.

В ходе акции, которая была проведена во всех частях и соединениях войск и сил на Северо-Востоке России, участники военно-патриотического мероприятия поддержали военнослужащих символикой «Сила V правде» и «Zа победу», развернули георгиевские ленты в виде литеры «V», словами выразили поддержку российским воинам.

#ЗаПрезидента #СвоихНеБросаем #РусскаяВесна #Zaмир #ВремяПомогать #МыВместе #ХимкиZ","Чем запомнился сегодняшний день на играх «Дети Азии»? Самое время подвести итоги:

🔹Мария Бугаевская из сборной Кузбасса завоевала первое место на соревнованиях по фристайлу (ски-кросс). Второе место взяла Диана Папулова из Башкортостана, а третье Софья Промышленникова из УФО.
🔹Петр Грищенко из Москвы стал победителем в соревнованиях по фристайлу (ски-кросс), второе место – Максим Васяев (Москва), третье место – Роман Герц (УФО).
🔹Команда УФО победила команду СФО в хоккейном матче со счетом 9:1.
🔹Команда ДФО обыграла в хоккей команду Казахстана со счетом 7:3.
🔹Команда Якутии одержала победу в хоккейном матче с командой Кузбасса со счетом 3:2.
🔹Состоялась церемония открытия игр в  ледовом дворце «Кузбасс».

#СНДПромышленновскогоокруга #ЕР42  #ZаРоссию #ZаНаших #ZаКуZбасс"
7,"выплата, рубль, ребенок, поддержка, семья, получать",0.001662754303599,"Как сообщает портал ТАСС, самым популярным направлением для старта бизнеса по соцконтракту является сфера красоты и здоровья — около 25% предпринимателей открывают такое дело https://tass.ru/ekonomika/14911225.
Также популярны сферы производства, сельского хозяйства, ремонта и логистики.
В Электростали социальные контракты в прошлом году заключили 15 человек на общую сумму 783 716 рублей, а в этом — уже девять на общую сумму 630 218 рублей.
Подробности о получении поддержки можно узнать у специалистов электростальского отделения социальной защиты по телефону: 8 (496) 571 34 90.
#ЗаМир #СвоихНеБросаем #МыВместе #ВремяПомогать #ЕдинаяРоссия #Подмосковье #ZaМир","Вчера на круглом столе регионального отделения партии «Единая Россия» депутаты Законодательного Собрания, представители исполнительных органов власти и ветеранского сообщества приняли решение организовать Центры бесплатных консультаций по мерам соцподдержки для ветеранов боевых действий. Центры будут развернуты на базе общественных приемных «Единой России». 
 
Такая работа была проведена по просьбе прошедших различные «горячие точки» земляков усовершенствовать меры поддержки этой категории граждан. Сейчас действуют 17 федеральных мер поддержки, еще 10 на Ямале приняты на региональном уровне. Среди них – компенсация расходов за ЖКУ, оплата проезда, и проживания при санаторном лечении, льготный проезд на общественном и пригородном транспорте, пожизненное денежное содержание в размере 5000 рублей ежемесячно. 
 
Все предложения будут проработаны. Результаты будут представлены руководителям ветеранских объединений. 
 
#СвоихНеБросаем #Соцподдержка #Ямал #ЕдинаяРоссия","❗️Единая Россия обеспечила право использовать маткапитал на оплату образования детей в организациях, открытых ИП

Закон принят Госдумой в третьем чтении. В его основе - инициатива первого Социального онлайн-форума партии, которую поддержал Президент.

Обязательным условием для направления средств маткапитала на оплату станет наличие у ИП лицензии на образовательную деятельность. 

https://t.me/er_molnia/4430#ZaнамиПравда
#ZаРоссию
#ZаНаших
#ZаПутина
#СвоихНеБросаем 
#Патриот54
#ЦентрНСО54
#ЕдинаяРоссия54
#Хорошиеновости54"
8,"единая россия, помощь, донбасс, врач, медицинский, территория",0.001662754303599,"Медицинское направление является одним из важнейших в рамках гуманитарной миссии «Единой России» на Донгбассе. Так, при научной поддержке МГУ, его специалистов и профессуры, в Купянске установлены терминалы для диагностики параметров здоровья – от давления и ЭКГ до элементарных анализов. Все эти данные передаются специалистам для последующих консультаций в режиме он-лайн. 

Напомню, что в больницы ЛДНР и освобожденных территорий постоянно направляются группы медицинских работников для помощи мирным гражданам и раненым военным. Всего сюда прибыло более 400 добровольцев-медиков, которые помогают своим коллегам на Донбассе. 

#СвоихНебросаем #МыВместе #ВремяПомогать #Zaмир","Добровольцы из разных регионов приступили к дежурству в лечебных учреждениях в новых регионах. Они помогают медикам и пациентам. И берутся за любую работу 💪

Подробности - в нашем видео📽

#ЕдинаяРоссия #СвоихНеБросаем #МыВместе #Zaмир

https://vk.com/video-195238698_456239773?list=1a6516733e664e6000","Единая Россия продолжает оказывать помощь местным жителям ЛДНР. Малышам требуется лечение и реабилитация, для них это жизненно необходимо. 
#ЕдинаяРоссия #своихнебросаем #мывместе #времяпомогать #Zaмир #ЕРТатарстан"
9,"крым, воссоединение крыма, крым россии, крымская весна, крым севастополя, 18 марта",0.001662754303599,"«Zа наших, Мы Vместе» 
06 ноября 2022 года специалист по социальной работе Государственного бюджетного учреждения Республики Крым «Советский районный центр социальных служб для семьи, детей и молодежи», Попова И.Ю., совместно с жителями, коллективами школ и садиков, дома культуры, индивидуальными предпринимателями, советом ветеранов Черноземненского сельского поселения Республики Крым, приняла активное участие в оказании гуманитарной помощи в виде: приготовления разнообразной выпечки и блюд домашней кухни, а также сбора средств и продуктов питания для раненых, находящихся в пересыльном пункте г. Джанкой. 
#МыВместе#МыРоссия#СвоихНеБросаем","Выступление Президента на акции, посвященной Дню воссоединения Крыма и Севастополя с Россией, стало доказательством консолидации российского общества, проявлением народной поддержки российской армии, освобождающий мир от нацизма. Глава России процитировал Библию: «Нет большей любви, как если бы кто-то душу отдал за друзей своих», отметив, что в этих словах содержатся ценности, общие для всех народов и конфессий России. 
Путин процитировал Ушакова – выдающегося флотоводца: «Грозы сии пойдут во славу России». «Так было тогда, так сегодня и так будет всегда!» 
Слова главы государства о том, что «такого единения у нас давно не было», относятся к российском обществу в целом. 

#alexandrbarkovkaluga #законодатель #зскалуга #калужскаяобласть #законодательноесобрание #калуга #депутатбарков #СвоихНеБросаем #МыВместе","⚡Координатор Движения За Правду по Краснодарскому краю, член партии СРЗП Андрей Беляев вместе с ветеранами Ассоциации ветеранов боевых действий ОВД и ВВ России, доставили первую партию гуманитарного груза на Крымский полуостров в город Джанкой.
📍Гуманитарная мобилизация общественности, представителей бизнеса и местной власти, дали значительные результаты. На протяжении нескольких недель непрерывно велась работа по сбору гуманитарной помощи в Краснодарском крае. 

❗Вклад внесли абсолютно все отделения Ассоциации и активисты Движение За Правду, Справедлива Россия За Правду председатель РО Денис Хмелевской, наши друзья из ""Добро и Дело"", особая благодарность депутату Государственной Думы, Гусеву Дмитрию за участие в формировании гумконвоя.
18 марта, когда весь наш многонациональный народ в едином порыве во главе с её Лидером, Владимиром Путиным поздравляли крымчан с Днем воссоединения с Россией и наших военнослужащих, выполняющих важнейшую боевую задачу по защите жителей Донбасса и уничтожению нацизма на Украине, участники гумконвоя передали важный груз и подарки нашим бойцам, находящихся в зоне специальной операции.

👥Обсудили актуальные вопросы непосредственно с Главой административного округа Джанкой Республики Крым, Сергеем Дорошенко, в беседе выстроили прочную коммуникацию и сформировали перечень приоритетных товаров для следующих гуманитарных конвоев.

Координатор Движения За Правду в КК, Андрей Беляев,-""Общаясь с военнослужащими мы выяснили, что по настоящему представляет ценность в период не простых испытаний, что подымает боевой дух и дает силы. Для бойцов сейчас очень важно чувствовать и видеть поддержку общества, получать солдатские посылки просто от незнакомых людей, получать детские рисунки и поделки с любовью от сердца с поддержкой армии и верой в мирное небо. Считаю необходимо  запустить проект Солдатская посылка ""Vместе"" среди учебных заведений и творческих коллективов, собранные посылки вместе с гуманитарным грузом передават нашим бойцам"".

#беженцы
#своихнебросаем 
#справедливаяроссия
#срзп
#Краснодар
#краснодарновости
#краснодарскийкрай
#событиякраснодар
#казакикубани
#ветераныкубани"
