,keywords,example1,example2,example3
0,"нацизм, фашизм, победа, наш, дед","Борьба с нацизмом является целью специальной военной операции, которую 24 февраля объявил президент. И эта цель будет достигнута!  #ZаРоссию, #ZаНаших, #ZаПутина, #СвоихНеБросаем","Никто не забыт, ничто не забыто!
Мы уверены в нашей правоте, храним в сердцах подвиги наших Великих предков, которые множество раз освобождали Мир от фашисткой коричневой чумы!🥊🥊🥊 
#teamputin #кремль #стараяплощадь #сильнаяроссия #Минобороны #своихнебросаем #стопфашизм #стопнато #сшатеррорист","Мы - народ победитель!!! Мы гордимся тем, что не бросаем своих граждан на Донбассе, что боремся с нацизмом, тем, что отстаиваем свои интересы и ценности!!! 
 
#СвоихНеБросаем #МыВместе #ВремяПомогать #ZaМир #ЕР50 #Подмосковье #ЕдинаяРоссия"
1,"президент, поддерживать, решение, армия, принимать","Большинство россиян сегодня одобряют решение президента России В.В. Путина помочь жителям Донбасса. Спецоперация нашей армии на Украине — это не война, а борьба за мир! Мы обязаны защитить нашу Родину и соотечественников от надвигающейся нацисткой агрессии!
Все хотят, чтобы на Донбасс как можно скорее вернулся мир и Россия делает для этого всё возможное! Украина и Запад сегодня обвиняют Путина во всех грехах, но мы поддерживаем нашего президента! #zaПутина #РоссияzaПутина #СвоихНеБросаем","✅Президент поблагодарил глав регионов, которые постоянно встречаются с людьми, выезжают, в том числе, и на линию боевого соприкосновения, поддерживают своих земляков.
 
Сегодня вместе переносят тяготы фронта кадровые военнослужащие, мобилизованные и добровольцы, подчеркнул глава государства в Послании Федеральному Собранию. 
 
«Речь о снабжении и оснащении, о денежных довольствиях и страховых выплатах в связи с ранением, с медицинской помощью. Однако обращения, которые поступают и ко мне, и к губернаторам, мне они тоже об этом докладывают, в органы военной прокураторы, к уполномоченному по права человека, говорят о том, что далеко не все эти вопросы еще решены. Необходимо разбираться в каждом конкретном случае», - подчеркнул Владимир Путин. 
 
#СвоихНеБросаем #ZаРусскийМир #ЗаПрезидента #ЗаРоссию #ЗаПутина #ЗаНаших","Мы гордимся нашим Президентом, нашими солдатами и офицерами, которые никогда не позволят страдать своему народу, которые обеспечат безопасность жителям нашей страны, никогда не подвергнут опасности жизнь и здоровье нашего народа!
  #СвоихНеБросаем 
  #ZаРусскийМир 
  #ЗаПрезидента 
  #СвоихНеБросаем 
  #РусскаяВесна 
  #ЗаРоссию 
  #ЗаПутина 
  #ЗаНаших"
2,"путин, владимир, президент, владимирович, поддерживать","#zамирбезнацизма, #zанаших, #zароссию
Европейцы в своем оголтелом заблуждении не хотят слушать доводов разума. Им проще и удобнее обвинять Путина в том, что в России за слово ""мир"" могут посадить на 15 лет. При этом слезы и страдания мирных жителей Донбасса, восемь лет страдавших от зверств киевского режима, для них ничто. Они не хотят ничего знать - как не хотели знать украинские военнопленные, теперь готовые на коленях вымаливать прощения у матерей безвинно погибших детей.","Россия начала военную операцию по демилитаризации и денацификации Украины 24 февраля. В телеобращении к гражданам России президент Владимир Владимирович  Путин заявил, что обстоятельства ""требуют от нас решительных и незамедлительных действий, народные республики Донбасса обратились с просьбой о помощи"". 
    К сожалению, нам не оставили выбора.  
Мы дошли уже до крайней точки.
Противостоять национализму и 
защитить нашу страну от существующих и ожидаемых угроз со стороны Украины - наш долг. 
    Минобороны РФ сообщает, что Вооружённые силы России не наносят ударов по городам Украины: высокоточными средствами выводится из строя  только военная инфраструктура. 
    И сейчас многое зависит от переговоров между украинской и российской делегациями. 
Ждём с надеждой… 

#ЗаПрезидента #СвоихНеБросаем #РусскаяВесна","Наша страна не раз оказывалась в непростом положении. И всегда мы с гордо поднятой головой справлялись со всеми трудностями, которые накрывали нашу Родину. Не без великих потерь... Сколько доблестных воинов сложили свои головы за наше право жить свободно, достойно! Скорбим, помним, чтим память... Мы, знаем цену войне, цену мира на земле. 
Но что же было бы с нами если бы во главе нашей безопасности не стоял бы Человек, который ежедневно борется за наш мир? За нашу стабильность? Который ценой неимоверных усилий держит всё под контролем? Наш президент Владимир Владимирович Путин не только поднял статус нашей страны на мировой арене, но и ежедневно борется за укрепление нашего государства. Есть конечно недовольные, которые пытаются внести смуту в наши сердца... Но вы подумайте, что было бы без нашего президента??? Прежде, чем осуждать кого-то наденьте его обувь и пройдите тот путь, который прошёл наш лидер!!! Ну как вам ноша? Непосильная правда? А он смог! И борется дальше за нас несмотря ни на что. 
Чтобы выразить свою благодарность и поддержку Президенту и российской армии, граждане выходят на улицу с триколорами и буквой Z.  Под лозунгом #СвоихНеБросаем проходят различные патриотические мероприятия. Мы, народ Левокумья, не исключение! 
С огромной гордостью я приняла участие в автопробеге в поддержку наших воинов, нашего президента, нашей страны! 
Владимир Путин четко дал понять – мы своих не бросаем! Россия никогда не потерпит унижений и всегда будет свободной. Борьба, которую мы ведем, это борьба за наш суверенитет, за будущее нашей страны и наших детей. Мы будем сражаться за право быть и оставаться Россией!!! Владимир Владимирович - МЫ С ВАМИ!!! 
#ЗаПрезидента, #ZастрануZаПрезидента "
3,"информация, информационный, фейк, источник, правда","Zа МИР!- 
Информационная война 
 
Сегодня мы каждый день слышим, что ведётся информационная война, то есть каждая страна на своей территории пытается объяснить свою позицию по мировым событиям. 
 
Не думаю, что это что-то новое. Такое было всегда немецкие солдаты тоже были убеждены в своей правоте. А в музеях Великой отечественной войны до сих пор хранятся листовки, которые сбрасывали с самолётов, чтобы деморализовать советских солдат. 
 
Получается, так было всегда и это естественно, что у каждой страны своя правда. Осталось только выбрать какая страна 'своя'. 
 
Для меня и для миллионов россиян сегодня ответ очевиден. Вчера по всей стране прошли акции поддержки. Буквы ZVV сегодня не поддержка конкретных решений и действий, а способ сказать: 'Моя страна - Россия!' 
 
#ХимкиZ 
#ЗаПрезидента #СвоихНеБросаем #РусскаяВесна #Zaмир #ВремяПомогать #МыВместе #СтарыеХимкиПодрезково","Информационная война – тоже война. В ней нельзя проигрывать. Как минимум, нельзя поддаваться той лжи, которая устроена руками врагов. В эти дни усилилась информационная атака со стороны Украины. Делается все, чтобы посеять панику среди наших граждан, дестабилизировать общую обстановку в стране. Это ненормально, когда в ленте Инстаграм выскакивает РЕКЛАМА о том, как русские бомбят жилые дома! Это слишком низко вот так неприкрыто при помощи таргета так оголтело пытаться нас обмануть! Сейчас руководству нашей страны нужна поддержка, мы должны поддержать наших военнослужащих и не допускать хоть капли сомнения в том, что спецоперация по защите Донбасса и собственных границ была необходима. А Украина, которая годами заставляла страдать собственный народ, я надеюсь, как-нибудь опомнится и поймет, что была самой глупой марионеткой Запада, которая сделала из нее разменную монету! #ЗаПрезидента #СвоихНеБросаем #силаVправде","✌🏻Друзья, пишу сегодня пост на тему качественного канала в телеграмме - https://t.me/zachitniki

🇷🇺Канал в котором можно получить достоверную и оперативную информацию!

▪️Советую всем посмотреть один из интересных постов, мне было важно узнать эту информацию из поста  - https://t.me/zachitniki/5054

▪️Это абсолютная правда, которую я полностью поддерживаю!

#своихнебросаем #ЗаНамиПравда"
4,"запад, западный, санкция, общество, россия","Санкционная политика Запада против России не принесла ожидаемых результатов. Наша страна не спасовала, не прогнулась. Она твердо стоит на ногах. Правительство поддерживает целые отрасли, своих производителей. 
Сейчас уникальная возможность у представителей бизнеса занять ниши, освободившиеся после демарша западных компаний.Благоустраиваются территории. 
Самое большое наше достояние – это люди. И общество сегодня сплотилось, поддерживает Президента, Вооруженные Силы, помогает вынужденным переселенцам с мест проведения боевых действий. Патриотизм, любовь к семье и Родине, отклик на чужую беду и бескорыстная помощь  всегда были, есть и будут главными чертами российского общества. Эти ценности в немалой степени являются основой суверенитета нашей страны. Россия была и остается великой державой, а сила российского общества – в единстве!
#zaПутина #РоссияzaПутина  #СвоихНеБросаем #РусскаяВесна","""Запад хочет расшатать ситуацию вокруг России, в том числе с помощью фейков. Вокруг нашей страны сформирован пояс нестабильности, принуждая наших ближайших соседей, братские нам народы делать выбор - либо ты с Западом, либо ты с Российской Федерацией."" - заявил глава государства.
#ZaПрезидента #ZaНаших #ZaРоссию #ZaКуzбасс #СвоихНеБросаем","Сегодня даже на Западе все больше людей поддерживают  Россию и не верят своим политикам и пропаганде в СМИ.Это неудивительно, беспрецедентные по количеству  и по содержанию санкции, которые вводятся против нашей страны, наносят большой вред жителям Европы.И с каждым днем  ситуация становится только сложнее.Сегодня все отчетливее слышны на Западе  и голоса тех, кто согласен с аргументами по поводу причин начала российской армией спецоперации на Украине.Акции в поддержку России проходят в разных уголках планеты.Если масштабная экономическая война против нашей страны будет продолжаться, то качество жизни европейцев и американцев будет стремительно снижаться , а недовольство только расти.Это ставит под удар благополучие Старого Света и США.         #ZаРоссию #ZаНаших #ZаПутина              #СвоихНеБросаем #ЕР42 #Куzбасс42"
5,"патриотизм, родина, любовь, гордиться, любить","Истинные патриоты своей родины уже с малых лет.
#СвоихНеБросаем, #ЗаНамиПраVда.","""Для граждан России особенно важны моральные устои. Именно они составляют стержень патриотизма, без этого России пришлось бы забыть и о национальном суверенитете."", - Владимир Путин 🇷🇺
#ZаРоссию
#ZaПрезидента
#СвоихНеБросаем","Мы Родину свою не продаем! Мы Родиной своею не торгуем! Придете с миром, стол для вас накроем с мечом придете - в землю утрамбуем! 
За Россию! За Президента! 
#запобеду#своихнебросаем"
6,"акция, поддержка, поддерживать, проходить, участие","Получилось так, что мой День рождения совпадает с Днём Сил специальных операций Вооруженных сил РФ. Этот день в календаре появился совсем недавно, после признания заслуг специальных подразделений при разрешении ситуации в Крыму в 2014 году.
⠀
Сегодня много говорю по телефону, читаю ваши сообщения, принимаю поздравления с Днём рождения, но в этом году я не праздную. Безусловно, без разговора о политике не обходится. Говорю честно, как думаю и как считаю нужным.
⠀
Сегодня хочу пожелать нам всем мира! Мир возможен только с Россией. Только с Путиным. Путин - мой Президент, я его выбирал. У нас сильная Армия! Абсолютное большинство граждан России сегодня одобряют действия Президента. Наше единство поможет освободить Украину от нацистов и от оружия, направленного на нас! Хотел бы сегодня в подарок капитуляцию Зеленского, не думающего о гражданах своей страны, в отличие от нашего Президента, который за нас с вами радеет и беспокоится.
⠀
#ВячеславГригорьев #ЗаПрезидента #СвоихНеБросаем #РусскаяВесна","❗️УЖЕ ИДЁТ 9 месяц❗️

🔺Такое ощущение, что мы где то на краю чего то не понятного. Такие не очень позитивные новости были с утра, вообщем на нашей Родине тревожно. И вопрос в воздухе висит очень неприятный. Не хочется верить, что до этого дойдёт. 

🔺Нужно поддержать наших ребят кто на передовой. Они выполняют не очень приятную работу, но для нашей Родины нужную. 

🇷🇺Наше дело правое. 
🇷🇺Победа будет за нами. 

#СвоихНеБросаем
#ZаПрезидента #ZaНаших #ZаМир #ZaПобеду #ЗаРоссию","Вся Россия поддерживает наших ребят, участвующих в специальной операции в Украине. 
#ТамбовскаяОбласть #ИнжавинскийРайон #СвоихНеБросаем 
#СилаVправде #МыВместе"
7,"мир, пусть, нужный, планета, небо",Мы за мир на всей планете!!! #ZaМир #СвоихНеБросаем,"Россия за мир без нацизма! Воины России, вы наши защитники!#ZaРоссию #ZaПрезидента #ZaКуZбасс #ZаМир #ZаНаших #СвоихНеБросаем","""Большие перемены происходят сейчас по всему миру, не только в России. Верю, что эти перемены в лучшую сторону. И надеюсь, что своими делами, поступками и решимостью мы сможем сделать мир более справедливым"", - заявил Владимир Путин 
Мы справимся, победа будет за нами!🇷🇺 
#всегдапротивнацизма 
#ZаПутина 
#ZaНаших 
#ZаРоссию 
#ZaПрезидента 
#СвоихНеБросаем 
#ЕР42 #Депутат42"
8,"донецк, обстрел, удар, центр, погибать","Украинские военные нанесли удар кассетными боеприпасами по жилому району города Изюм. Несколько человек погибло. Российские врачи оперативно оказывают помощь всем раненным.

#ЗаРоссию #СвоихНебросаем #ZaМир#Патриот54","В поддержку российских солдат! 
Осужденный британский наемник Эйден Аслин рассказал о том, что ВСУ намеренно обстреливают мирных жителей Донецка. То есть все наши опасения оправдались – украинцы не стесняются убивать невинных людей, они это делают намеренно. Верю, что наши ребята уничтожат тех, кто творит такие вещи. Вперед, солдаты России, за свою страну и за людей! 
https://t.me/readovkanews/37400 

#ZаРоссию #ZаПутина #ZаНаших #СвоихНеБросаем","То, что не покажут в западных и европейских СМИ!!!

То, чего не видит уже на протяжении целых 8-ми лет мировое сообщество со своими псевдо гуманными лозунгами!!!

Из Мариуполя эвакуированы дети, у которых украинские неонацисты расстреляли родителей.

Старший собрал во дворе малышей и прятал в подвале, пока их не нашли освободители Донбасса.

Дети до последнего боялись, что их убьют, не понимая что их на самом деле спасли.

#РеспубликаКрым#мывместе#времяпомогать#КрымZаПутина#своихнебросаем#ZаМИР#СвоихНеБросаем#ZаПутина 🇷🇺 🇷🇺 🇷🇺"
9,"видео, украинский, фейк, буча, тело","18+
Друзья, прошу максимально распространить этот пост, это очень важно. Кадры расстрела наших пленных бойцов украинскими ублюдками должен увидеть весь мир, чтобы осознать, что война идёт не России против Украины, поддерживаемой странами НАТО, а идёт война добра со злом. 
 
На упоминаемом видео украинские боевики простреливают ноги русским пленным после чего их избивают. В начале видео на земле лежат русские пленные с прострелянными ногами у некоторых перебиты кости ног. Шансов выжить после таких ранений в тех обстоятельствах мало. Может сложиться впечатление, что русские солдаты попали в плен будучи раненными. Но нет. В конце видео показано, как всем прибывающим пленным русским солдатам украинские боевики простреливают ноги. Многие умирают от болевого шока прямо в кадре. И это всё сами же украинские боевики и снимают на камеру. Также они поступали с пленными защитниками Донбасса все эти 8 лет. Пусть весь мир увидит, что Украина - это ИГИЛ.
#украина #Россия #СвоихНеБросаем","Смотрите ""Кадыровцы"" открыто заявляют, что готовы насиловать всех женщин и девушек"" на YouTube
🙄🙄🙄
Воины Аллаха совершают священный мусульманский намаз..
Перед боем з бандерами.
Наверное..","Я придумала кино. Про наших мммм недорусских, кто сейчас в Турцию гоняет. Ну вы же знаете, что с каждого берут сбор, на байкатары и ими потом убивают наших Русских Воинов, роятся эти самые байкатары там как мухи. Не знали? Так турки  открыточки стали выдавать.  
Ну так вот
  В общем лето 2022 и наши едут за лишней пайкой в,,все включено,, и фоточки на море…, но только вот эти сборы отпечатываются на байкатарах. 
Ну оплатил и где то на заводе написалось на борту : -от Гали кассирши в поисках хоть какого турка , от испугавшегося патриота, от Василия Петровича Иванова, копил год, и его детей и фио, года рождения и всё данные ( ох, блин, так же это есть и можно найти, ну ладно) .( это,кстати моё русское кино и ЛГБТ тут не будет, ни одного героя))) И камера так отъезжает и видно, что сотни этих байкатаров с именами предателей. Ну и там дальше сюжетные линии развить про героев.  Пьянство, тошнота от бесплатной еды и прочая праздность и обесчеловечивание. А потом Йохуу ( это фантастика же), мобилизация и всё родственники , сыновья ,мужья  и друзья ,,отдыхающих"" оказываются в стране 404. И там тоже сюжетные линии длинные и потом всех их  в груз 200 именно этими байкатарами. Ну так что бы имена на борту видно было, оператор огонь-огонь нужен. И потом опять камера показывает большое поле погибших. 
И тут вот через всё это поле идёт апостол Пётр и цитирует о неотвратимости наказания строки :  ,,Мельницы Господни мелют медленно, но очень тонко», «Жернова́ Господни мелют медленно, но неумолимо (верно)», и ваш Байкатар тоже в пути.... ' 
  Ну и там титры то и се. А камера отъезжает и это оказывается кинозал, темно, трещит старый кинопроектор на экран. Несколько кресел всего на целый зал и та дам камера наводится на профиль, Иосиф Виссарионович вынимает трубку и такой :
  - О@еТЬ. Это значит сейчас, если провести параллель, пока Курская дуга  и,,всё для фронта, всё для Победы! "" , какие то психи могли бы отдыхать на курортах третьего Рейха????? И спонсировать концлагеря, тигров и убийство Русских Солдат Красной Армии?  Нет, при мне такой х@йни не будет. 
Расстрелять. ""
    Тут выхожу Я и такая ,,рукивбоки"" 
: ,, да,товарищ Сталин , и потом ещё раз расстрелять
Пожалуйста ""
Ну и тут уже окончательные титры и какая нибудь песня этакая.... Мммм... Джанго нам придумает. 

Такое кино
Сюр?  Нет
Сейчас так и есть.
И мы всех вас - отдыхающих - видим. И парни на передовой - ваши фоточки. И Бог -  видит, вот он пусть с вами разбирается. 
А мы подождëм. 

#никитасергеевичмихалков
Ауу! Нам нужно кино, как я складно всё уже придумала. 
#своихнебросаем   #знайнаших  #НашаАрмиявсехсильней #народныйфронт
#тыловики  #победабудетзанами
#взводобеспечениябоевыхподразделений
Телега)) ( тачанка же) 
https://t.me/polinaZOV"
