,portions_nowar,portions_z,keywords
0,0.032814945226917,0.006651017214398,"путин, война, мир"
1,0.0304186228482,0.001467136150235,"война, мир, друг"
2,0.011199139280125,0.020588810641628,"россия, санкция, газ, экономика, запад"
3,0.000537949921753,0.019219483568075,"сталинградский, сталинградская битва, сталинградская победа, 70 отца, дед сделать"
4,0.001173708920188,0.041079812206573,"помощь, гуманитарная помощь, единая россия, житель, центр"
5,0.001809467918623,0.018339201877934,"россия, единая россия, пациент, врач, помощь"
6,0.004499217527387,0.021664710485133,"референдум, херсонский запорожский, херсонская область, вхождение состава, запорожский херсонский"
7,0.007091158059468,0.010074334898279,"фашизм, война, нацизм, мир, фашист"
8,0.011688184663537,0.011492566510172,"песня, война, музыка, клип"
10,0.000342331768388,0.015747261345853,"армия, солдат, поддерживать, военный, поддержка"
11,0.004010172143975,0.005770735524257,"уничтожать, всу, район населенный, населенный пункт, военный"
12,0.00547730829421,0.006357589984351,"россия, информация, фейк, информационная война"
13,0.002396322378717,0.009634194053208,"соревнование, спортивный, болельщик, спортсмен, турнир"
14,0.010465571205008,0.000195618153365,"страшно бессильный, прикасаться душа, тропа, друг брата"
15,0.003765649452269,0.017507824726135,"письмо, поддержка, письмо солдата, акция письма, рисунок"
16,0.008411580594679,0.001320422535211,"мир, война, любовь, жизнь, друг"
17,0.006161971830986,0.000733568075117,"погибать, потеря, война"
18,0.001320422535211,0.007971439749609,"противник, националист, сержант, лейтенант, подразделение"
19,0.004303599374022,0.001173708920188,"пожар, взрыв"
20,0.006015258215962,0.005428403755869,"русский, русский мир, война"
21,0.003325508607199,0.002298513302034,"вертолет, дрон, беспилотник, поц"
22,0.006259780907668,0.001369327073552,"суд, свобода срока, лишение свободы, штраф, уголовный"
23,0.012764084507042,0.003912363067293,"митинг, война, выходить митинг, протест, антивоенный"
24,0.000244522691706,0.012177230046948,"единая россия, региональное отделение, отделение партии, единая партия, помощь"
25,0.004841549295775,0.000635758998435,"украина, помощь"
26,0.005770735524257,0.005134976525822,"зеленский, зеленский владимир, война, президент"
27,0.001222613458529,0.01775234741784,"президент, поддерживать президент, гордиться, решение президента, спецоперация"
28,0.003227699530516,0.003032081377152,мобилизация
30,0.002689749608764,0.006553208137715,"книга, библиотека, литература, учебник, русский"
31,0.001418231611894,0.005232785602504,"россия, временное размещение, временный пункт, единая россия, волонтер"
32,0.000489045383412,0.005868544600939,"ставка, кредит, льготный, ипотека, правительство"
