,"путин, война, мир","война, мир, друг","украина, война, мир, украинец, жить, друг","российский, ракета, вертолет, уничтожать, сбивать, самолет","ребенок, война, мир, мать","россия, санкция, компания, банк, газ, доллар","погибать, война, военный, ребенок, потеря","дом, район, обстрел, город, ракета, жилой дом","фашизм, война, мир, русский, украинский фашизм, фашист","россия, видео, война, канал, журналист, телеведущий","песня, война, мир, петь, музыка","суд, дело, война, судья, говорить, прокурор","украина, передавать украине, военный, оружие","война, митинг, антивоенный, выходить, акция протеста","петиция, война, учитель, подпись, петиция требования, подписывать петицию"
0,308,555,169,23,113,47,36,8,82,26,96,14,6,131,131
1,389,185,115,65,122,101,87,72,90,86,71,41,11,125,50
2,71,31,38,41,29,47,41,30,34,21,13,23,20,19,13
3,92,25,23,25,21,24,23,25,29,11,29,17,10,13,7
4,32,12,6,3,11,4,4,3,6,3,8,3,0,5,8
5,48,6,3,4,9,4,4,13,2,6,6,10,1,6,6
6,25,6,5,3,6,2,3,2,4,4,8,6,0,13,1
7,89,16,8,2,12,2,8,3,5,4,10,7,1,53,11
8,31,12,4,4,6,1,4,4,6,5,9,6,0,18,5
9,15,4,3,3,10,3,3,1,2,7,3,6,0,12,3
10,35,8,5,6,8,5,5,0,7,4,4,14,2,14,7
11,32,7,5,3,4,6,5,3,1,2,5,13,5,11,4
12,33,12,8,6,4,3,7,2,4,1,6,4,2,20,3
