,"президент, военный, русский, мир, война, путин","сталинградский, сталинградская битва, сталинградское место, битва посвящаться, сталинградский герой, дед сделать","помощь, гуманитарная помощь, житель, сбор, единая россия, центр","уничтожать, военный, противник, пункт, всу, район","референдум, житель, вхождение, территория, состав, херсонская область","солдат, ребята, поддерживать, победа, гордиться, военный","акция, житель, принимать участие, помощь, акция поддержки, военный","выплата, рубль, ребенок, поддержка, семья, получать","единая россия, помощь, донбасс, врач, медицинский, территория","крым, воссоединение крыма, крым россии, крымская весна, крым севастополя, 18 марта","мир, сила, жизнь, бог, знать, становиться","работа, восстановление, донбасс, строитель, помогать, строительный","санкция, газ, экономика, рубль, запад, европа","концерт, поддержка, песня, проходить, благотворительный концерт, военный","письмо, акция, поддержка, военный, ребята, слово","бабушка, флаг, топтать, знамя победы, украинская бабушка, старушка","нацизм, победа, мир, фашизм, военный","спорт, спортивный, соревнование, спортсмен, игра, турнир","проект, проект правда, конкурс, фирменный мерч, поддержка, получать фирменный","днр, народная республика, лнр, помощь, житель, донецкий","семья, помощь, поддержка, единая россия, семья мобилизовать, вопрос","единая россия, региональное отделение, помощь, житель, отделение партии, область","стихотворение, русский, патриотическое стихотворение, поэт, читать, стих","президент, поддерживать, решение, спецоперация, военный, поддержка","мир, родина, народ, любовь","мариуполь, город, центр","депутат, совет, вопрос, работа, единая россия, округ","новогодний, ребенок, новый, семья, праздник, новогодний подарок","пункт обогрева, россия readovka, единая россия, обогрев жителя, помощь, мариуполь","библиотека, акция, поддержка, присоединяться, сельская библиотека"
0,1093,42,883,28,25,88,95,0,32,69,73,3,20,10,8,18,11,11,3,1293,17,149,8,217,56,0,28,0,0,0
1,7570,407,2816,600,166,2598,1649,539,402,3391,683,153,1071,325,944,327,485,520,97,875,141,283,639,2619,1074,344,245,0,0,0
2,4571,1118,1228,770,105,1628,655,609,280,211,441,73,678,359,570,726,536,272,85,415,128,174,155,1425,835,336,153,0,0,0
3,2135,1099,490,531,86,728,267,229,318,65,191,205,400,238,126,312,485,144,39,239,60,104,72,900,408,173,82,0,0,0
4,1432,852,736,381,141,680,170,233,731,53,103,510,220,143,116,48,488,182,98,263,68,151,62,759,215,246,124,0,0,0
5,1136,3501,777,390,269,772,161,337,766,60,109,210,169,85,88,56,159,157,41,216,68,131,35,428,214,81,64,0,0,0
6,990,3386,604,427,126,764,189,158,587,34,87,452,173,188,68,82,112,139,115,206,99,188,36,390,190,127,56,0,0,0
7,1216,2550,365,339,4260,537,164,101,84,70,148,78,247,148,115,43,122,107,960,87,254,105,34,469,305,831,66,0,0,0
8,857,877,1058,427,949,816,243,157,66,107,136,95,108,197,498,56,193,95,57,118,1202,776,75,348,222,43,112,0,0,0
9,619,1011,897,463,121,574,179,619,49,12,131,56,129,263,506,84,104,66,86,41,739,416,50,230,238,49,94,0,0,0
10,543,273,987,398,153,545,154,89,332,31,97,65,74,133,492,19,61,89,39,56,546,219,45,258,127,47,63,0,0,0
11,494,158,764,385,33,489,92,67,77,28,136,39,61,155,325,54,142,80,23,32,207,89,38,179,137,40,53,0,0,0
12,546,930,1077,360,74,609,225,124,545,35,90,52,88,351,662,37,106,172,100,54,280,201,49,203,223,30,119,0,0,0
