,total_popularity,nowar_prevalence,keywords
0,0.019684076682316,0.832298136645963,"путин, война, мир"
1,0.015942879499218,0.95398773006135,"война, мир, друг"
2,0.015918427230047,0.353302611367128,"россия, санкция, газ, экономика, запад"
3,0.016334115805947,0.016467065868264,"сталинградский, сталинградская битва, 70 отца, дед сделать, сталинградская победа"
4,0.021053403755869,0.02787456445993,"помощь, гуманитарная помощь, единая россия, житель, центр"
5,0.010074334898279,0.089805825242719,"россия, единая россия, пациент, врач, помощь"
6,0.012935250391236,0.170132325141777,"референдум, херсонская область, референдум вхождения, херсонский запорожский, запорожский херсонский"
7,0.010441118935837,0.517564402810304,"фашизм, война, украина пути, нацизм, путь победы"
8,0.011565923317684,0.505285412262156,"песня, война, музыка"
10,0.00802034428795,0.021341463414634,"армия, солдат, поддерживать, военный, поддержка"
11,0.006406494522692,0.549618320610687,"уничтожать, всу, военный, населенный пункт, район населенный"
12,0.00591744913928,0.462809917355372,"информация, фейк, информационная война"
13,0.006015258215962,0.199186991869919,"спорт, соревнование, спортивный, болельщик, спортсмен"
14,0.005330594679186,0.981651376146789,"страшно бессильный, прикасаться душа, тропа, друг брата"
15,0.010636737089202,0.177011494252874,"письмо, поддержка, письмо солдата, акция письма, рисунок"
16,0.004866001564945,0.864321608040201,"мир, война, любовь, жизнь, друг"
17,0.004621478873239,0.920634920634921,"погибать, потеря, погибший, война, сообщать"
18,0.00464593114241,0.142105263157895,"противник, националист, сержант, лейтенант, подразделение"
19,0.004401408450704,0.866666666666667,"пожар, город, взрыв, окт 22, повреждать"
20,0.004597026604069,0.75,"вертолет, дрон, беспилотник, ракета, сбивать"
21,0.008362676056338,0.766081871345029,"митинг, война, выходить митинг, протест, антивоенный"
22,0.00381455399061,0.82051282051282,"суд, свобода срока, лишение свободы, штраф, уголовный"
23,0.006161971830986,0.015873015873016,"единая россия, региональное отделение, отделение партии, единая партия, помощь"
24,0.003301056338028,0.903703703703704,"украина, помощь"
25,0.007017801251956,0.634146341463415,"зеленский, зеленский владимир, война, президент"
26,0.009511932707355,0.06426735218509,"президент, поддерживать президент, гордиться, решение президента, спецоперация"
28,0.004621478873239,0.291005291005291,"книга, библиотека, литература, учебник, русский"
29,0.003325508607199,0.213235294117647,"россия, временное размещение, временный пункт, единая россия, волонтер"
30,0.003178794992175,0.076923076923077,"ставка, кредит, льготный, ипотека, правительство"
31,0.005232785602504,0.257009345794392,"концерт, благотворительный концерт, концерт поддержки"
32,0.007311228482003,0.204013377926421,"крым, крым россии, воссоединение крыма, крым севастополя, 18 марта"
33,0.003227699530516,0.060606060606061,"выплата, доход, семья, пособие, рубль"
34,0.004597026604069,0.101063829787234,"герой, военный гордиться, народ региона, солдат"
35,0.003154342723005,0.046511627906977,"пункт обогрева, россия readovka, обогрев жителя, единая россия, местное число"
36,0.004523669796557,0.075675675675676,"медаль, вручать, медаль отваги, государственная награда, военный"
37,0.002591940532081,0.632075471698113,"украина, военный, германия, leopard"
38,0.003716744913928,0.743421052631579,"видео, фильм"
39,0.006724374021909,0.490909090909091,флаг
40,0.004303599374022,0.852272727272727,"мать, ребенок, война, убивать, солдат"
41,0.00254303599374,0.028846153846154,"калашников, оборонная промышленность, автомат, михаил калашникова, конструктор создавать"
